1;Адыгейск;Адыгея;Южный;12248;1973
2;Майкоп;Адыгея;Южный;144246;1857
3;Горно-Алтайск;Алтай;Сибирский;56928;1830
4;Алейск;Алтайский край;Сибирский;29512;1913
5;Барнаул;Алтайский край;Сибирский;612091;1730
6;Белокуриха;Алтайский край;Сибирский;14660;1803
7;Бийск;Алтайский край;Сибирский;210055;1709
8;Горняк;Алтайский край;Сибирский;13924;1942
9;Заринск;Алтайский край;Сибирский;48456;1979
10;Змеиногорск;Алтайский край;Сибирский;10955;1736
11;Камень-на-Оби;Алтайский край;Сибирский;43880;1751
12;Новоалтайск;Алтайский край;Сибирский;70438;1736
13;Рубцовск;Алтайский край;Сибирский;147008;1892
14;Славгород;Алтайский край;Сибирский;32390;1910
15;Яровое;Алтайский край;Сибирский;18605;1943
16;Белогорск;Амурская область;Дальневосточный;68220;1860
17;Благовещенск;Амурская область;Дальневосточный;214397;1856
18;Завитинск;Амурская область;Дальневосточный;11481;1906
19;Зея;Амурская область;Дальневосточный;25042;1879
20;Райчихинск;Амурская область;Дальневосточный;20499;1932
21;Свободный;Амурская область;Дальневосточный;58594;1912
22;Сковородино;Амурская область;Дальневосточный;9561;1908
23;Тында;Амурская область;Дальневосточный;35574;1907
24;Шимановск;Амурская область;Дальневосточный;19815;1910
25;Архангельск;Архангельская область;Северо-Западный;348716;1584
26;Вельск;Архангельская область;Северо-Западный;23885;1137
27;Каргополь;Архангельская область;Северо-Западный;10148;1146
28;Коряжма;Архангельская область;Северо-Западный;39629;1535
29;Котлас;Архангельская область;Северо-Западный;60562;1890
30;Мезень;Архангельская область;Северо-Западный;3599;16 век
31;Мирный;Архангельская область;Северо-Западный;30259;1957
32;Новодвинск;Архангельская область;Северо-Западный;40612;1936
33;Няндома;Архангельская область;Северо-Западный;22354;1898
34;Онега;Архангельская область;Северо-Западный;21359;1137
35;Северодвинск;Архангельская область;Северо-Западный;192265;1936
36;Сольвычегодск;Архангельская область;Северо-Западный;2460;14 век
37;Шенкурск;Архангельская область;Северо-Западный;5702;1137
38;Астрахань;Астраханская область;Южный;520662;1558
39;Ахтубинск;Астраханская область;Южный;41898;1959
40;Знаменск;Астраханская область;Южный;29357;1948
41;Камызяк;Астраханская область;Южный;16291;1560
42;Нариманов;Астраханская область;Южный;11386;1963
43;Харабали;Астраханская область;Южный;18209;1789
44;Агидель;Башкортостан;Приволжский;16365;1980
45;Баймак;Башкортостан;Приволжский;17710;1748
46;Белебей;Башкортостан;Приволжский;60183;1715
47;Белорецк;Башкортостан;Приволжский;68804;1762
48;Бирск;Башкортостан;Приволжский;41637;1663
49;Благовещенск;Башкортостан;Приволжский;34246;1756
50;Давлеканово;Башкортостан;Приволжский;24040;18 век
51;Дюртюли;Башкортостан;Приволжский;31272;1795
52;Ишимбай;Башкортостан;Приволжский;66259;1815
53;Кумертау;Башкортостан;Приволжский;62854;1947
54;Межгорье;Башкортостан;Приволжский;17353;1979
55;Мелеуз;Башкортостан;Приволжский;61408;18 век
56;Нефтекамск;Башкортостан;Приволжский;121757;1957
57;Октябрьский;Башкортостан;Приволжский;109379;1946
58;Салават;Башкортостан;Приволжский;156085;1948
59;Сибай;Башкортостан;Приволжский;62732;1913
60;Стерлитамак;Башкортостан;Приволжский;273432;1766
61;Туймазы;Башкортостан;Приволжский;66849;1912
62;Уфа;Башкортостан;Приволжский;1062300;1574
63;Учалы;Башкортостан;Приволжский;37771;1955
64;Янаул;Башкортостан;Приволжский;26988;1914
65;Алексеевка;Белгородская область;Центральный;39026;1685
66;Белгород;Белгородская область;Центральный;356426;1596
67;Бирюч;Белгородская область;Центральный;7842;1705
68;Валуйки;Белгородская область;Центральный;35322;1593
69;Грайворон;Белгородская область;Центральный;6234;1678
70;Губкин;Белгородская область;Центральный;88562;1939
71;Короча;Белгородская область;Центральный;5877;1637
72;Новый Оскол;Белгородская область;Центральный;19530;1647
73;Старый Оскол;Белгородская область;Центральный;221163;1593
74;Строитель;Белгородская область;Центральный;23933;1958
75;Шебекино;Белгородская область;Центральный;44277;1713
76;Брянск;Брянская область;Центральный;415640;985
